# Region type :  patch inlet
# Faces          : 70
# Area           : 9.8000000000e-03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
0.843627         	-3.8898074798e-02
0.848671         	-3.8895613036e-02
0.853715         	-3.8893151254e-02
0.85876          	-3.8890689800e-02
0.863804         	-3.8888228406e-02
0.868848         	-3.8885767532e-02
0.873892         	-3.8883307131e-02
0.878937         	-3.8880847861e-02
0.883981         	-3.8878387904e-02
0.889025         	-3.8875928032e-02
0.89407          	-3.8873467865e-02
0.899114         	-3.8871008010e-02
0.904158         	-3.8868548335e-02
0.909203         	-3.8866088447e-02
0.914247         	-3.8863629164e-02
0.919291         	-3.8861169995e-02
0.924335         	-3.8858711271e-02
0.92938          	-3.8856252626e-02
0.934424         	-3.8853794666e-02
0.939468         	-3.8851335791e-02
0.944513         	-3.8848877035e-02
0.949557         	-3.8846418539e-02
0.954601         	-3.8843960869e-02
0.959646         	-3.8841504489e-02
0.96469          	-3.8839047990e-02
0.969734         	-3.8836591909e-02
0.974778         	-3.8834135841e-02
0.979823         	-3.8831679700e-02
0.984867         	-3.8829223602e-02
0.989911         	-3.8826767864e-02
0.994956         	-3.8824312466e-02
1                	-3.8821857771e-02
1.00505          	-3.8819399859e-02
1.0101           	-3.8816942501e-02
1.01515          	-3.8814485407e-02
1.0202           	-3.8812028560e-02
1.02525          	-3.8809572005e-02
1.0303           	-3.8807115736e-02
1.03535          	-3.8804659741e-02
1.0404           	-3.8802204016e-02
1.04545          	-3.8799747299e-02
1.05051          	-3.8797290869e-02
1.05556          	-3.8794836707e-02
1.06061          	-3.8792382976e-02
1.06566          	-3.8789929032e-02
1.07071          	-3.8787475017e-02
1.07576          	-3.8785021377e-02
1.08081          	-3.8782568046e-02
1.08586          	-3.8780115292e-02
1.09091          	-3.8777662772e-02
1.09596          	-3.8775210460e-02
1.10101          	-3.8772758524e-02
1.10606          	-3.8770306782e-02
1.11111          	-3.8767855515e-02
1.11616          	-3.8765404414e-02
1.12121          	-3.8762953776e-02
1.12626          	-3.8760503331e-02
1.13131          	-3.8758053354e-02
1.13636          	-3.8755603557e-02
1.14141          	-3.8753154243e-02
1.14646          	-3.8750705140e-02
1.15152          	-3.8748256493e-02
1.15657          	-3.8745808066e-02
1.16162          	-3.8743360070e-02
1.16667          	-3.8740912339e-02
1.17172          	-3.8738465014e-02
1.17677          	-3.8736017925e-02
1.18182          	-3.8733571247e-02
1.18687          	-3.8731124805e-02
1.19192          	-3.8728678756e-02
1.19697          	-3.8726232956e-02
1.20202          	-3.8723787543e-02
1.20707          	-3.8721342364e-02
1.21212          	-3.8718897595e-02
1.21717          	-3.8716453023e-02
1.22222          	-3.8714008872e-02
1.22727          	-3.8711564896e-02
1.23232          	-3.8709121368e-02
1.23737          	-3.8706678007e-02
1.24242          	-3.8704235110e-02
1.24747          	-3.8701792355e-02
1.25253          	-3.8699350057e-02
1.25758          	-3.8696907922e-02
1.26263          	-3.8694466215e-02
1.26768          	-3.8692024696e-02
1.27273          	-3.8689583640e-02
1.27778          	-3.8687142703e-02
1.28283          	-3.8684702230e-02
1.28788          	-3.8682261920e-02
