# Field minima and maxima
# Time           	min(p)           	max(p)           
0.0602048193     	1.0000000000e+05	1.0939940237e+05
0.0612048193     	1.0000000000e+05	1.0939966641e+05
0.0622048193     	1.0000000000e+05	1.0939942282e+05
0.0632048193     	1.0000000000e+05	1.0939964961e+05
0.0642048193     	1.0000000000e+05	1.0939944025e+05
0.0652048193     	1.0000000000e+05	1.0939963506e+05
0.0662048193     	1.0000000000e+05	1.0939945511e+05
0.0672048193     	1.0000000000e+05	1.0939962246e+05
0.0682048193     	1.0000000000e+05	1.0939946780e+05
0.0692048193     	1.0000000000e+05	1.0939961156e+05
0.0702048193     	1.0000000000e+05	1.0939947865e+05
0.0712048193     	1.0000000000e+05	1.0939960215e+05
0.0722048193     	1.0000000000e+05	1.0939948793e+05
0.0732048193     	1.0000000000e+05	1.0939959403e+05
0.0742048193     	1.0000000000e+05	1.0939949587e+05
0.0752048193     	1.0000000000e+05	1.0939958703e+05
0.0762048193     	1.0000000000e+05	1.0939950267e+05
0.0772048193     	1.0000000000e+05	1.0939958099e+05
0.0782048193     	1.0000000000e+05	1.0939950850e+05
0.0792048193     	1.0000000000e+05	1.0939957579e+05
0.0802048193     	1.0000000000e+05	1.0939951349e+05
0.0812048193     	1.0000000000e+05	1.0939957131e+05
0.0822048193     	1.0000000000e+05	1.0939951777e+05
0.0832048193     	1.0000000000e+05	1.0939956745e+05
0.0842048193     	1.0000000000e+05	1.0939952145e+05
0.0852048193     	1.0000000000e+05	1.0939956413e+05
0.0862048193     	1.0000000000e+05	1.0939952460e+05
0.0872048193     	1.0000000000e+05	1.0939956128e+05
0.0882048193     	1.0000000000e+05	1.0939952730e+05
0.0892048193     	1.0000000000e+05	1.0939955882e+05
0.0902048193     	1.0000000000e+05	1.0939952962e+05
0.0912048193     	1.0000000000e+05	1.0939955670e+05
0.0922048193     	1.0000000000e+05	1.0939953160e+05
0.0932048193     	1.0000000000e+05	1.0939955488e+05
0.0942048193     	1.0000000000e+05	1.0939953331e+05
0.0952048193     	1.0000000000e+05	1.0939955331e+05
0.0962048193     	1.0000000000e+05	1.0939953477e+05
0.0972048193     	1.0000000000e+05	1.0939955196e+05
0.0982048193     	1.0000000000e+05	1.0939953603e+05
0.0992048193     	1.0000000000e+05	1.0939955079e+05
0.100204819      	1.0000000000e+05	1.0939953711e+05
0.101204819      	1.0000000000e+05	1.0939954980e+05
0.102204819      	1.0000000000e+05	1.0939953803e+05
0.103204819      	1.0000000000e+05	1.0939954894e+05
0.104204819      	1.0000000000e+05	1.0939953883e+05
0.105204819      	1.0000000000e+05	1.0939954821e+05
0.106204819      	1.0000000000e+05	1.0939953952e+05
0.107204819      	1.0000000000e+05	1.0939954758e+05
0.108204819      	1.0000000000e+05	1.0939954011e+05
0.109204819      	1.0000000000e+05	1.0939954703e+05
0.110204819      	1.0000000000e+05	1.0939954062e+05
