# Field minima and maxima
# Time       	field        	min          	location(min)	processor    	max          	location(max)	processor    
0.4125       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.986451e-01	(-1.467634e-02 -1.788527e-02 5.956500e-01)	3
0.426923     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.886122e-01	(1.590302e-02 1.319433e-02 5.956500e-01)	3
0.444231     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.887438e-01	(2.175901e-02 1.757252e-02 5.956500e-01)	3
0.463702     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.934362e-01	(1.757252e-02 2.175901e-02 5.956500e-01)	3
0.486418     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.677957e-01	(2.175901e-02 1.757252e-02 5.956500e-01)	3
0.502644     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	9.061103e-01	(-1.613555e-02 -1.983701e-02 5.956500e-01)	3
0.51238      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.842609e-01	(1.898773e-02 2.365191e-02 5.956500e-01)	3
0.523332     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.405193e-01	(2.175901e-02 1.757252e-02 5.956500e-01)	3
0.53611      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.948492e-01	(2.175901e-02 1.757252e-02 5.956500e-01)	3
0.552083     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.845176e-01	(1.788527e-02 1.467634e-02 5.956500e-01)	3
0.576041     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.424906e-01	(-1.100056e-02 1.100056e-02 5.956500e-01)	3
0.6          	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	6.690786e-01	(-1.757252e-02 -2.175901e-02 5.956500e-01)	3
0.610526     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.687981e-01	(1.898773e-02 2.365191e-02 5.956500e-01)	3
0.623158     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.351153e-01	(0.000000e+00 -1.044344e-01 5.956500e-01)	3
0.637895     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.743088e-01	(1.788527e-02 1.467634e-02 5.956500e-01)	3
0.655906     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.971329e-01	(0.000000e+00 -1.076971e-01 5.956500e-01)	3
0.676491     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.411178e-01	(1.613555e-02 -1.983701e-02 5.956500e-01)	3
0.701193     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	7.306828e-01	(-1.983701e-02 -1.613555e-02 5.956500e-01)	3
0.708251     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.306467e-01	(1.898773e-02 2.365191e-02 5.956500e-01)	3
0.716591     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.844022e-01	(-2.175901e-02 -1.757252e-02 5.956500e-01)	3
0.727018     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.397624e-01	(1.757252e-02 -2.175901e-02 5.956500e-01)	3
0.739181     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.669038e-01	(-1.590302e-02 -1.319433e-02 5.956500e-01)	3
0.754386     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.403437e-01	(-9.858691e-02 -2.250182e-02 5.956500e-01)	3
0.769591     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.163246e-01	(-2.175901e-02 -1.757252e-02 6.055500e-01)	3
0.784795     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.134061e-01	(-2.365191e-02 -1.898773e-02 6.055500e-01)	3
0.8          	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.073972e-01	(-2.365191e-02 -1.898773e-02 6.055500e-01)	3
0.818182     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.249415e-01	(-1.590302e-02 -1.319433e-02 5.956500e-01)	3
0.840909     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.919583e-01	(1.613555e-02 -1.983701e-02 5.956500e-01)	3
0.867424     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	6.137145e-01	(-1.788527e-02 -1.467634e-02 5.956500e-01)	3
